time,V(in),V(a),V(out),I(V1)
0.000386,5,5.518807396,6.803669032,0.01037614793
0.000388,5,5.531318376,6.782416297,0.01062636751
0.00039,5,5.54349024,6.760676687,0.0108698048
0.000392,5,5.555321662,6.738463821,0.01110643323
0.000394,5,5.566811461,6.715791362,0.01133622921
0.000396,5,5.577958605,6.692673018,0.0115591721
0.000398,5,5.588762208,6.66912253,0.01177524416
0.0004,5,5.599221529,6.645153668,0.01198443059
0.000402,5,5.609335972,6.62078023,0.01218671944
0.000404,5,5.619105081,6.596016026,0.01238210163
0.000406,5,5.628528545,6.570874884,0.0125705709
0.000408,5,5.637606189,6.545370637,0.01275212379
0.00041,5,5.646337981,6.519517118,0.01292675961
0.000412,5,5.654724022,6.493328157,0.01309448044
0.000414,5,5.662764552,6.466817575,0.01325529104
0.000416,5,5.670459945,6.439999177,0.01340919889
0.000418,5,5.677810705,6.412886749,0.0135562141
0.00042,5,5.684817471,6.38549405,0.01369634942
0.000422,5,5.691481009,6.35783481,0.01382962018
0.000424,5,5.697802214,6.329922721,0.01395604428
0.000426,5,5.703782107,6.301771437,0.01407564214
0.000428,5,5.709421834,6.273394563,0.01418843669
0.00043,5,5.714722664,6.244805657,0.01429445329
0.000432,5,5.719685987,6.216018217,0.01439371973
0.000434,5,5.72431331,6.187045685,0.01448626621
0.000436,5,5.728606262,6.157901434,0.01457212524
0.000438,5,5.732566584,6.128598771,0.01465133168
0.00044,5,5.736196132,6.099150926,0.01472392264
0.000442,5,5.739496874,6.069571051,0.01478993747
0.000444,5,5.742470887,6.039872215,0.01484941774
0.000446,5,5.745120357,6.010067401,0.01490240715
0.000448,5,5.747447577,5.980169498,0.01494895153
0.00045,5,5.74945494,5.9501913,0.0149890988
0.000452,5,5.751144946,5.920145503,0.01502289892
0.000454,5,5.752520191,5.890044695,0.01505040382
0.000456,5,5.753583371,5.85990136,0.01507166741
0.000458,5,5.754337277,5.829727869,0.01508674553
0.00046,5,5.754784794,5.799536477,0.01509569587
0.000462,5,5.754928898,5.769339321,0.01509857795
0.000464,5,5.754772655,5.739148415,0.01509545311
0.000466,5,5.75431922,5.708975646,0.01508638439
0.000468,5,5.753571829,5.678832773,0.01507143658
0.00047,5,5.752533805,5.648731421,0.0150506761
0.000472,5,5.75120855,5.618683079,0.01502417101
0.000474,5,5.749599546,5.588699097,0.01499199092
0.000476,5,5.747710349,5.558790683,0.01495420699
0.000478,5,5.745544592,5.528968899,0.01491089185
0.00048,5,5.743105979,5.49924466,0.01486211958
0.000482,5,5.740398284,5.469628729,0.01480796567
0.000484,5,5.737425347,5.440131715,0.01474850695
0.000486,5,5.734191077,5.410764072,0.01468382155
0.000488,5,5.730699444,5.381536094,0.01461398888
0.00049,5,5.726954478,5.352457915,0.01453908956
0.000492,5,5.722960271,5.323539504,0.01445920541
0.000494,5,5.718720967,5.294790666,0.01437441935
0.000496,5,5.71424077,5.266221035,0.0142848154
0.000498,5,5.709523932,5.237840077,0.01419047863
0.0005,5,5.704574755,5.209657087,0.0140914951
0.000502,5,5.699397591,5.181681184,0.01398795182
0.000504,5,5.693996836,5.15392131,0.01387993671
0.000506,5,5.688376929,5.126386233,0.01376753857
0.000508,5,5.682542351,5.099084539,0.01365084701
0.00051,5,5.676497621,5.072024634,0.01352995241
0.000512,5,5.670247295,5.045214742,0.0134049459
0.000514,5,5.663795965,5.018662904,0.01327591929
0.000516,5,5.657148252,4.992376974,0.01314296503
0.000518,5,5.65030881,4.966364621,0.0130061762
0.00052,5,5.64328232,4.940633329,0.0128656464
0.000522,5,5.636073489,4.915190389,0.01272146978
0.000524,5,5.628687048,4.890042907,0.01257374095
0.000526,5,5.621127748,4.865197797,0.01242255496
0.000528,5,5.613400362,4.840661783,0.01226800724
0.00053,5,5.605509679,4.816441396,0.01211019359
0.000532,5,5.597460504,4.792542975,0.01194921008
0.000534,5,5.589257654,4.768972669,0.01178515309
0.000536,5,5.580905959,4.745736431,0.01161811918
0.000538,5,5.572410257,4.722840021,0.01144820513
0.00054,5,5.563775393,4.700289005,0.01127550785
0.000542,5,5.555006218,4.678088756,0.01110012436
0.000544,5,5.546107587,4.656244453,0.01092215174
0.000546,5,5.537084354,4.634761079,0.01074168708
0.000548,5,5.527941375,4.613643424,0.01055882749
0.00055,5,5.5186835,4.592896084,0.01037367001
0.000552,5,5.509315579,4.57252346,0.01018631158
0.000554,5,5.499842452,4.552529762,0.009996849045
0.000556,5,5.490268953,4.532919004,0.009805379055
0.000558,5,5.480599904,4.513695008,0.009611998076
0.00056,5,5.470840117,4.494861403,0.009416802334
0.000562,5,5.460994389,4.476421628,0.009219887781
0.000564,5,5.451067503,4.458378928,0.009021350066
0.000566,5,5.441064225,4.440736359,0.008821284493
0.000568,5,5.4309893,4.423496787,0.00861978599
0.00057,5,5.420847454,4.406662889,0.008416949077
0.000572,5,5.410643391,4.390237153,0.00821286783
0.000574,5,5.400381792,4.374221881,0.008007635847
0.000576,5,5.390067311,4.358619189,0.007801346223
0.000578,5,5.379704575,4.343431006,0.007594091509
0.00058,5,5.369298184,4.328659078,0.007385963688
0.000582,5,5.358852707,4.31430497,0.00717705414
0.000584,5,5.348372681,4.300370063,0.006967453617
0.000586,5,5.33786261,4.286855558,0.006757252206
0.000588,5,5.327326965,4.27376248,0.006546539309
0.00059,5,5.31677018,4.261091673,0.006335403608
0.000592,5,5.306196652,4.248843806,0.006123933039
0.000594,5,5.295610738,4.237019377,0.005912214766
0.000596,5,5.285016758,4.225618707,0.005700335156
0.000598,5,5.274418987,4.214641947,0.005488379748
0.0006,5,5.263821662,4.204089081,0.005276433232
0.000602,5,5.253228971,4.193959922,0.005064579422
0.000604,5,5.242645062,4.184254119,0.004852901234
0.000606,5,5.232074033,4.174971158,0.004641480659
0.000608,5,5.221519937,4.166110361,0.004430398743
0.00061,5,5.210986778,4.157670889,0.004219735565
0.000612,5,5.200478511,4.149651749,0.004009570213
0.000614,5,5.189999038,4.142051787,0.003799980763
0.000616,5,5.179552213,4.134869699,0.00359104426
0.000618,5,5.169141835,4.128104026,0.003382836698
0.00062,5,5.15877165,4.12175316,0.003175433
0.000622,5,5.14844535,4.115815346,0.002968906999
0.000624,5,5.138166571,4.110288683,0.002763331422
0.000626,5,5.127938893,4.105171127,0.002558777868
0.000628,5,5.11776584,4.100460493,0.002355316799
0.00063,5,5.107650876,4.096154458,0.002153017516
0.000632,5,5.097597407,4.092250562,0.001951948147
0.000634,5,5.087608782,4.088746211,0.001752175632
0.000636,5,5.077688286,4.085638679,0.001553765711
