time,V(in),V(out),I(V1)
0.00572,-0.5410264856,-0.7493554378,-0.0002083289523
0.00574,-0.4579372548,-0.7007857407,-0.0002428484858
0.00576,-0.3690942119,-0.6455038192,-0.0002764096073
0.00578,-0.2748479795,-0.5837278459,-0.0003088798664
0.0058,-0.1755705046,-0.5157016224,-0.0003401311178
0.00582,-0.07165358996,-0.441693617,-0.000370040027
0.00584,0.0364926518,-0.3619959055,-0.0003984885573
0.00586,0.1484414169,-0.2769230184,-0.0004253644353
0.00588,0.2637508946,-0.1868106996,-0.0004505615942
0.0059,0.3819660113,-0.09201458112,-0.0004739805924
0.00592,0.5026202257,0.007091220011,-0.0004955290057
0.00594,0.6252373708,0.1101155785,-0.0005151217923
0.00596,0.7493335329,0.2166519042,-0.0005326816287
0.00598,0.8744189609,0.326279747,-0.0005481392139
0.006,1,0.4385664558,-0.0005614335442
