time,V(in),V(out),I(V1)
0.00792,0,2.060289195,0.002060289195
0.00794,0,2.019891367,0.002019891367
0.00796,0,1.980285654,0.001980285654
0.00798,0,1.941456524,0.001941456524
0.008,0,1.903388749,0.001903388749
0.00802,0,1.866067401,0.001866067401
0.00804,0,1.829477844,0.001829477844
0.00806,0,1.793605729,0.001793605729
0.00808,0,1.758436989,0.001758436989
0.0081,0,1.723957833,0.001723957833
0.00812,0,1.690154738,0.001690154738
0.00814,0,1.657014449,0.001657014449
0.00816,0,1.62452397,0.00162452397
0.00818,0,1.592670558,0.001592670558
0.0082,0,1.561441724,0.001561441724
0.00822,0,1.53082522,0.00153082522
0.00824,0,1.500809039,0.001500809039
0.00826,0,1.471381411,0.001471381411
0.00828,0,1.442530795,0.001442530795
0.0083,0,1.414245877,0.001414245877
0.00832,0,1.386515566,0.001386515566
0.00834,0,1.359328986,0.001359328986
0.00836,0,1.332675477,0.001332675477
0.00838,0,1.306544585,0.001306544585
0.0084,0,1.280926064,0.001280926064
0.00842,0,1.255809866,0.001255809866
0.00844,0,1.231186143,0.001231186143
0.00846,0,1.207045239,0.001207045239
0.00848,0,1.183377685,0.001183377685
0.0085,0,1.160174201,0.001160174201
0.00852,0,1.137425687,0.001137425687
0.00854,0,1.115123223,0.001115123223
0.00856,0,1.093258061,0.001093258061
0.00858,0,1.071821629,0.001071821629
0.0086,0,1.050805519,0.001050805519
0.00862,0,1.030201489,0.001030201489
0.00864,0,1.01000146,0.00101000146
0.00866,0,0.9901975094,0.0009901975094
0.00868,0,0.9707818719,0.0009707818719
0.0087,0,0.9517469333,0.0009517469333
0.00872,0,0.9330852287,0.0009330852287
0.00874,0,0.9147894399,0.0009147894399
0.00876,0,0.8968523921,0.0008968523921
0.00878,0,0.879267051,0.000879267051
0.0088,0,0.8620265206,0.0008620265206
0.00882,0,0.8451240398,0.0008451240398
0.00884,0,0.8285529802,0.0008285529802
0.00886,0,0.8123068434,0.0008123068434
0.00888,0,0.7963792582,0.0007963792582
0.0089,0,0.7807639786,0.0007807639786
0.00892,0,0.765454881,0.000765454881
0.00894,0,0.7504459618,0.0007504459618
0.00896,0,0.7357313351,0.0007357313351
0.00898,0,0.7213052305,0.0007213052305
0.009,0,0.7071619907,0.0007071619907
0.00902,1,0.7129039124,-0.0002870960876
0.00904,2,0.7381410906,-0.001261858909
0.00906,3,0.7824912653,-0.002217508735
0.00908,4,0.8455796718,-0.003154420328
0.0091,5,0.927038894,-0.004072961106
0.00912,5,1.006900876,-0.003993099124
0.00914,5,1.085196938,-0.003914803062
0.00916,5,1.161957782,-0.003838042218
0.00918,5,1.237213512,-0.003762786488
0.0092,5,1.310993639,-0.003689006361
0.00922,5,1.383327097,-0.003616672903
0.00924,5,1.454242252,-0.003545757748
0.00926,5,1.523766914,-0.003476233086
0.00928,5,1.591928347,-0.003408071653
0.0093,5,1.658753281,-0.003341246719
0.00932,5,1.724267923,-0.003275732077
0.00934,5,1.788497963,-0.003211502037
0.00936,5,1.851468592,-0.003148531408
0.00938,5,1.913204502,-0.003086795498
0.0094,5,1.973729904,-0.003026270096
0.00942,5,2.033068533,-0.002966931467
0.00944,5,2.09124366,-0.00290875634
0.00946,5,2.148278098,-0.002851721902
0.00948,5,2.204194213,-0.002795805787
0.0095,5,2.259013935,-0.002740986065
