time,V(in),V(out),I(V1)
0.00261,5,4.627529873,-0.000372470127
0.00262,5,4.631217696,-0.000368782304
0.00263,5,4.634869006,-0.0003651309941
0.00264,5,4.638484164,-0.0003615158357
0.00265,5,4.642063529,-0.000357936471
0.00266,5,4.645607454,-0.0003543925455
0.00267,5,4.649116292,-0.0003508837084
0.00268,5,4.652590388,-0.0003474096123
0.00269,5,4.656030087,-0.0003439699132
0.0027,5,4.65943573,-0.0003405642705
0.00271,5,4.662807653,-0.000337192347
0.00272,5,4.666146191,-0.0003338538089
0.00273,5,4.669451674,-0.0003305483257
0.00274,5,4.67272443,-0.00032727557
0.00275,5,4.675964782,-0.0003240352178
0.00276,5,4.679173052,-0.0003208269483
0.00277,5,4.682349556,-0.0003176504439
0.00278,5,4.68549461,-0.00031450539
0.00279,5,4.688608525,-0.0003113914752
0.0028,5,4.691691609,-0.0003083083913
0.00281,5,4.694744167,-0.000305255833
0.00282,5,4.697766502,-0.000302233498
0.00283,5,4.700758913,-0.0002992410871
0.00284,5,4.703721696,-0.0002962783041
0.00285,5,4.706655144,-0.0002933448555
0.00286,5,4.709559549,-0.000290440451
0.00287,5,4.712435197,-0.000287564803
0.00288,5,4.715282373,-0.0002847176267
0.00289,5,4.71810136,-0.0002818986403
0.0029,5,4.720892435,-0.0002791075647
0.00291,5,4.723655877,-0.0002763441234
0.00292,5,4.726391957,-0.000273608043
0.00293,5,4.729100948,-0.0002708990525
0.00294,5,4.731783116,-0.0002682168836
0.00295,5,4.734438729,-0.0002655612709
0.00296,5,4.737068049,-0.0002629319514
0.00297,5,4.739671335,-0.0002603286648
0.00298,5,4.742248847,-0.0002577511532
0.00299,5,4.744800838,-0.0002551991616
0.003,5,4.747327563,-0.0002526724373
0.00301,5,4.74982927,-0.00025017073
0.00302,5,4.752306208,-0.000247693792
0.00303,5,4.754758622,-0.0002452413783
0.00304,5,4.757186754,-0.0002428132458
0.00305,5,4.759590846,-0.0002404091543
0.00306,5,4.761971134,-0.0002380288656
0.00307,5,4.764327856,-0.0002356721442
0.00308,5,4.766661243,-0.0002333387566
0.00309,5,4.768971528,-0.0002310284719
0.0031,5,4.771258939,-0.0002287410613
0.00311,5,4.773523702,-0.0002264762983
0.00312,5,4.775766041,-0.0002242339587
0.00313,5,4.77798618,-0.0002220138205
0.00314,5,4.780184336,-0.0002198156638
0.00315,5,4.782360729,-0.0002176392711
0.00316,5,4.784515573,-0.0002154844269
0.00317,5,4.786649082,-0.0002133509177
0.00318,5,4.788761468,-0.0002112385324
0.00319,5,4.790852938,-0.0002091470617
0.0032,5,4.792923701,-0.0002070762988
0.00321,5,4.794973962,-0.0002050260384
0.00322,5,4.797003922,-0.0002029960776
0.00323,5,4.799013785,-0.0002009862154
0.00324,5,4.801003747,-0.0001989962529
0.00325,5,4.802974007,-0.000197025993
0.00326,5,4.804924759,-0.0001950752406
0.00327,5,4.806856197,-0.0001931438026
0.00328,5,4.808768512,-0.0001912314877
0.00329,5,4.810661893,-0.0001893381066
0.0033,5,4.812536528,-0.0001874634719
0.00331,5,4.814392602,-0.0001856073979
0.00332,5,4.816230299,-0.0001837697009
0.00333,5,4.818049801,-0.0001819501989
0.00334,5,4.819851288,-0.0001801487118
0.00335,5,4.821634939,-0.0001783650612
0.00336,5,4.82340093,-0.0001765990705
0.00337,5,4.825149435,-0.0001748505648
0.00338,5,4.826880629,-0.0001731193711
0.00339,5,4.828594682,-0.0001714053179
0.0034,5,4.830291764,-0.0001697082356
0.00341,5,4.831972044,-0.000168027956
0.00342,5,4.833635687,-0.0001663643129
0.00343,5,4.835282859,-0.0001647171415
0.00344,5,4.836913721,-0.0001630862787
0.00345,5,4.838528437,-0.0001614715631
0.00346,5,4.840127165,-0.0001598728347
0.00347,5,4.841710065,-0.0001582899354
0.00348,5,4.843277292,-0.0001567227083
0.00349,5,4.844829002,-0.0001551709983
0.0035,5,4.846365348,-0.0001536346518
0.00351,5,4.847886483,-0.0001521135166
0.00352,5,4.849392558,-0.0001506074422
0.00353,5,4.850883721,-0.0001491162794
0.00354,5,4.852360119,-0.0001476398806
0.00355,5,4.8538219,-0.0001461780996
0.00356,5,4.855269208,-0.0001447307917
0.00357,5,4.856702186,-0.0001432978135
0.00358,5,4.858120977,-0.0001418790233
0.00359,5,4.859525719,-0.0001404742805
0.0036,5,4.860916554,-0.000139083446
0.00361,5,4.862293618,-0.0001377063822
0.00362,5,4.863657047,-0.0001363429527
0.00363,5,4.865006978,-0.0001349930225
0.00364,5,4.866343542,-0.0001336564579
0.00365,5,4.867666873,-0.0001323331266
0.00366,5,4.868977102,-0.0001310228976
0.00367,5,4.870274359,-0.0001297256412
0.00368,5,4.871558771,-0.0001284412289
0.00369,5,4.872830466,-0.0001271695336
0.0037,5,4.874089571,-0.0001259104293
0.00371,5,4.875336209,-0.0001246637914
0.00372,5,4.876570504,-0.0001234294964
0.00373,5,4.877792578,-0.0001222074222
0.00374,5,4.879002552,-0.0001209974477
0.00375,5,4.880200547,-0.0001197994532
0.00376,5,4.88138668,-0.00011861332
0.00377,5,4.882561069,-0.0001174389307
0.00378,5,4.883723831,-0.000116276169
0.00379,5,4.88487508,-0.0001151249198
0.0038,5,4.886014931,-0.0001139850691
0.00381,5,4.887143496,-0.0001128565041
0.00382,5,4.888260887,-0.000111739113
0.00383,5,4.889367215,-0.0001106327851
0.00384,5,4.890462589,-0.000109537411
0.00385,5,4.891547118,-0.0001084528822
0.00386,5,4.892620909,-0.0001073790913
0.00387,5,4.893684068,-0.0001063159319
0.00388,5,4.894736701,-0.0001052632989
0.00389,5,4.895778912,-0.0001042210881
0.0039,5,4.896810804,-0.0001031891961
0.00391,5,4.897832479,-0.0001021675209
0.00392,5,4.898844039,-0.0001011559613
0.00393,5,4.899845583,-0.0001001544171
0.00394,5,4.900837211,-9.916278922e-05
0.00395,5,4.901819021,-9.818097943e-05
0.00396,5,4.902791109,-9.720889052e-05
0.00397,5,4.903753574,-9.624642626e-05
0.00398,5,4.904706509,-9.529349135e-05
0.00399,5,4.905650009,-9.434999143e-05
0.004,5,4.906584167,-9.34158331e-05
0.00401,5,4.907509076,-9.249092386e-05
0.00402,5,4.908424828,-9.157517214e-05
0.00403,5,4.909331513,-9.066848727e-05
0.00404,5,4.910229221,-8.977077947e-05
0.00405,5,4.91111804,-8.888195987e-05
0.00406,5,4.91199806,-8.800194047e-05
0.00407,5,4.912869366,-8.713063413e-05
0.00408,5,4.913732045,-8.626795458e-05
0.00409,5,4.914586184,-8.541381642e-05
0.0041,5,4.915431865,-8.456813507e-05
0.00411,5,4.916269173,-8.37308268e-05
0.00412,5,4.917098191,-8.290180871e-05
0.00413,5,4.917919001,-8.208099872e-05
0.00414,5,4.918731684,-8.126831557e-05
0.00415,5,4.919536321,-8.046367878e-05
0.00416,5,4.920332991,-7.966700869e-05
0.00417,5,4.921121774,-7.887822643e-05
0.00418,5,4.921902746,-7.809725389e-05
0.00419,5,4.922675986,-7.732401375e-05
0.0042,5,4.923441571,-7.655842946e-05
0.00421,5,4.924199575,-7.580042521e-05
0.00422,5,4.924950074,-7.504992595e-05
0.00423,5,4.925693143,-7.430685737e-05
0.00424,5,4.926428854,-7.357114591e-05
0.00425,5,4.927157281,-7.284271873e-05
0.00426,5,4.927878496,-7.212150369e-05
0.00427,5,4.928592571,-7.14074294e-05
0.00428,5,4.929299575,-7.070042514e-05
0.00429,5,4.929999579,-7.000042094e-05
0.0043,5,4.930692653,-6.930734746e-05
0.00431,5,4.931378864,-6.86211361e-05
0.00432,5,4.932058281,-6.794171891e-05
0.00433,5,4.932730971,-6.726902862e-05
0.00434,5,4.933397001,-6.660299864e-05
0.00435,5,4.934056437,-6.594356301e-05
0.00436,5,4.934709344,-6.529065644e-05
0.00437,5,4.935355786,-6.46442143e-05
0.00438,5,4.935995827,-6.400417257e-05
0.00439,5,4.936629532,-6.33704679e-05
0.0044,5,4.937256962,-6.274303752e-05
0.00441,5,4.937878181,-6.212181933e-05
0.00442,5,4.938493248,-6.150675181e-05
0.00443,5,4.939102226,-6.089777407e-05
0.00444,5,4.939705174,-6.029482581e-05
0.00445,5,4.940302153,-5.969784734e-05
0.00446,5,4.94089322,-5.910677954e-05
0.00447,5,4.941478436,-5.85215639e-05
0.00448,5,4.942057858,-5.794214248e-05
0.00449,5,4.942631542,-5.73684579e-05
0.0045,5,4.943199547,-5.680045337e-05
0.00451,5,4.943761927,-5.623807264e-05
0.00452,5,4.94431874,-5.568126004e-05
0.00453,5,4.94487004,-5.512996043e-05
0.00454,5,4.945415881,-5.458411924e-05
0.00455,5,4.945956318,-5.404368242e-05
0.00456,5,4.946491404,-5.350859645e-05
0.00457,5,4.947021192,-5.297880837e-05
0.00458,5,4.947545734,-5.245426571e-05
0.00459,5,4.948065083,-5.193491655e-05
0.0046,5,4.948579291,-5.142070945e-05
0.00461,5,4.949088406,-5.091159352e-05
0.00462,5,4.949592482,-5.040751833e-05
0.00463,5,4.950091566,-4.990843399e-05
0.00464,5,4.950585709,-4.941429108e-05
0.00465,5,4.951074959,-4.892504068e-05
0.00466,5,4.951559366,-4.844063433e-05
0.00467,5,4.952038976,-4.796102409e-05
0.00468,5,4.952513838,-4.748616247e-05
0.00469,5,4.952983998,-4.701600244e-05
0.0047,5,4.953449503,-4.655049747e-05
0.00471,5,4.953910399,-4.608960145e-05
0.00472,5,4.954366731,-4.563326877e-05
0.00473,5,4.954818546,-4.518145422e-05
0.00474,5,4.955265887,-4.473411309e-05
0.00475,5,4.955708799,-4.429120108e-05
0.00476,5,4.956147326,-4.385267434e-05
0.00477,5,4.956581511,-4.341848944e-05
0.00478,5,4.957011397,-4.298860341e-05
0.00479,5,4.957437026,-4.256297367e-05
0.0048,5,4.957858442,-4.214155809e-05
0.00481,5,4.958275685,-4.172431494e-05
0.00482,5,4.958688797,-4.131120291e-05
0.00483,5,4.959097819,-4.09021811e-05
0.00484,5,4.959502791,-4.049720901e-05
0.00485,5,4.959903753,-4.009624655e-05
0.00486,5,4.960300746,-3.969925401e-05
0.00487,5,4.960693808,-3.930619209e-05
0.00488,5,4.961082978,-3.891702187e-05
0.00489,5,4.961468295,-3.853170482e-05
0.0049,5,4.961849797,-3.815020279e-05
0.00491,5,4.962227522,-3.777247801e-05
0.00492,5,4.962601507,-3.739849308e-05
0.00493,5,4.962971789,-3.702821097e-05
0.00494,5,4.963338405,-3.666159502e-05
0.00495,5,4.963701391,-3.629860893e-05
0.00496,5,4.964060783,-3.593921676e-05
0.00497,5,4.964416617,-3.558338293e-05
0.00498,5,4.964768928,-3.523107221e-05
0.00499,5,4.96511775,-3.488224972e-05
0.005,5,4.965463119,-3.453688091e-05
